gt_race_id,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_time,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_race
104108,Black Canyon,rachel drake,F,1,0.36623842592592600,17002,108752,2024-06-29,2024,25,Finisher,USA,8,20-34,0.7281828703703700,Western States
104108,Black Canyon,becca windell,F,2,0.36997685185185200,17002,108752,2024-06-29,2024,44,Finisher,USA,16,35-39,0.8185300925925930,Western States
104108,Black Canyon,lauren puretz,F,3,0.37983796296296300,17002,108752,2024-06-29,2024,34,Finisher,USA,13,40-44,0.7864004629629630,Western States
37544,The Canyons,anna louden,F,1,0.43376157407407400,17002,108752,2024-06-29,2024,29,Finisher,USA,11,20-34,0.7452546296296300,Western States
37544,The Canyons,careth arnold,F,2,0.44354166666666700,17002,108752,2024-06-29,2024,35,Finisher,USA,14,20-34,0.7872569444444440,Western States
37544,The Canyons,rod farvard,M,1,0.36423611111111100,17002,108752,2024-06-29,2024,2,Finisher,USA,2,20-34,0.6001736111111110,Western States
37544,The Canyons,petter engdahl,M,2,0.37188657407407400,17002,108752,2024-06-29,2024,15,Finisher,NOR,13,20-34,0.6823611111111110,Western States
141024,CCC,martyna mlynarczyk,F,1,0.50777777777777800,17002,119682,2025-06-28,2025,,DNF,POL,,35-39,,Western States
141024,CCC,rosanna buchauer,F,2,0.51174768518518500,17002,119682,2025-06-28,2025,,DNF,DEU,,35-39,,Western States
141024,CCC,hau ha,F,3,0.52518518518518500,17002,119682,2025-06-28,2025,18,Finisher,VNM,6,35-39,0.7248495370370370,Western States
112165,Javelina,david roche,M,1,0.53129629629629600,17002,119682,2025-06-28,2025,,DNF,USA,,35-39,,Western States
112165,Javelina,jeff mogavero,M,2,0.53785879629629600,17002,119682,2025-06-28,2025,4,Finisher,USA,4,20-34,0.6042939814814820,Western States
112165,Javelina,riley brady,F,1,0.59653935185185200,17002,119682,2025-06-28,2025,,DNF,USA,,20-34,,Western States
